0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:33:49 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:33:59 +0700] "GET /JavaNangCaoNhom4/sach.jsp HTTP/1.1" 200 3990
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:34:00 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:34:01 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:34:08 +0700] "GET /JavaNangCaoNhom4/ktdn HTTP/1.1" 200 2559
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:34:17 +0700] "POST /JavaNangCaoNhom4/ktdn HTTP/1.1" 200 4006
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:34:17 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:34:17 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:34:23 +0700] "GET /JavaNangCaoNhom4/sachserverlet HTTP/1.1" 200 4896
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:34:23 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:34:23 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:34:28 +0700] "GET /JavaNangCaoNhom4/sachserverlet?ml=toan HTTP/1.1" 200 3076
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:34:28 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:34:30 +0700] "GET /JavaNangCaoNhom4/sachserverlet?ml=hoa HTTP/1.1" 200 2706
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:34:31 +0700] "GET /JavaNangCaoNhom4/sachserverlet?ml=tin HTTP/1.1" 200 4185
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:34:31 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:34:35 +0700] "POST /JavaNangCaoNhom4/sachserverlet HTTP/1.1" 200 2706
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:34:41 +0700] "POST /JavaNangCaoNhom4/sachserverlet HTTP/1.1" 200 4555
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:34:41 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:34:41 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:34:49 +0700] "POST /JavaNangCaoNhom4/sachserverlet HTTP/1.1" 200 2706
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:34:56 +0700] "POST /JavaNangCaoNhom4/sachserverlet HTTP/1.1" 200 4896
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:34:56 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:34:56 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
